name,inn,ogrn,category,subcategory,email,phone,website,region,city,min_order_rub,delivery_days,rating,verified
ООО «Ситилинк Корп»,7718641790,1067746684570,it,"ноутбуки, мониторы, периферия",b2b@citilink.ru,+7 (495) 780-20-02,citilink.ru,Москва,Москва,30000,2,4.6,True
ООО «Марвел КТ»,7805026345,1037832010205,it,"серверное оборудование, СХД, сети",sales@marvel.ru,+7 (812) 324-64-64,marvel.ru,Санкт-Петербург,Санкт-Петербург,100000,5,4.8,True
ООО «Тегрус»,7710789012,1087746789012,it,"сетевое оборудование, Cisco, Huawei",sales@tegrus.ru,+7 (495) 510-37-37,tegrus.ru,Москва,Москва,200000,7,4.5,True
ООО «АйТи Партнёр»,6670456789,1196670456789,it,"лицензии ПО, облачные сервисы",license@it-partner.ru,+7 (343) 379-20-20,it-partner.ru,Свердловская область,Екатеринбург,10000,1,4.4,True
ООО «Софтлайн Трейд»,7736227885,1027736008043,it,"ПО: Microsoft, Kaspersky, 1С",sales@softline.ru,+7 (495) 232-00-23,softline.ru,Москва,Москва,15000,1,4.7,True
ООО «Крок Инкорпорейтед»,7701004101,1027700132195,it,"инфраструктурные решения, дата-центры",info@croc.ru,+7 (495) 974-22-74,croc.ru,Москва,Москва,500000,14,4.9,True
ООО «Бизнес-Техника»,5402567890,1185402567890,it,"МФУ, принтеры, картриджи",zakaz@bizteh.ru,+7 (383) 363-07-07,bizteh.ru,Новосибирская область,Новосибирск,8000,3,4.3,True
ООО «Нетворк Проф»,1658234567,1201658234567,it,"кабельные системы, СКС",opt@network-prof.ru,+7 (843) 511-20-20,network-prof.ru,Татарстан,Казань,25000,5,4.2,False
ООО «ДатаЦентр Юг»,2308567890,1212308567890,it,"серверы, СХД, виртуализация",sales@dc-yug.ru,+7 (861) 290-10-10,dc-yug.ru,Краснодарский край,Краснодар,150000,7,4.1,True
ООО «Северсталь-Метиз»,3528015529,1023502290280,metals,"металлопрокат, трубы, арматура",sales@severstal.com,+7 (8202) 53-33-00,severstal.com,Вологодская область,Череповец,100000,7,4.9,True
ООО «Металл Профиль»,7447080800,1027402542875,metals,"профнастил, металлочерепица, сэндвич-панели",info@metallprofil.ru,+7 (351) 211-23-24,metallprofil.ru,Челябинская область,Челябинск,50000,5,4.7,True
ООО «ММК-Трубы»,7456012345,1107456012345,metals,"трубы стальные, нержавеющие, оцинкованные",tubes@mmk.ru,+7 (3519) 25-90-00,mmk.ru,Челябинская область,Магнитогорск,200000,10,4.8,True
ООО «Евраз Маркет»,6623012345,1126623012345,metals,"арматура, балка, швеллер, рельсы",market@evraz.com,+7 (3435) 40-60-60,evraz.com,Свердловская область,Нижний Тагил,300000,10,4.7,True
ООО «Мечел-Сервис»,7705940381,1097746010480,metals,"спецстали, нержавеющий прокат, метизы",service@mechel.ru,+7 (495) 221-88-00,mechel.ru,Москва,Москва,150000,7,4.6,True
ООО «Стальной Мир»,7804890123,1137804890123,metals,"лист, труба, круг, полоса",zakaz@steelworld.ru,+7 (812) 740-10-10,steelworld.ru,Санкт-Петербург,Санкт-Петербург,80000,5,4.4,True
ООО «УралМетТорг»,7451345678,1147451345678,metals,"цветной металлопрокат, алюминий, медь",info@uralmettorg.ru,+7 (351) 247-50-50,uralmettorg.ru,Челябинская область,Челябинск,120000,7,4.3,True
ООО «СибМеталл»,5405567890,1155405567890,metals,"арматура, проволока, сетка",sales@sibmetall.ru,+7 (383) 230-10-10,sibmetall.ru,Новосибирская область,Новосибирск,60000,6,4.2,True
ООО «Волга-Сталь»,6316789012,1166316789012,metals,"листовой прокат, трубы водогазопроводные",opt@volga-steel.ru,+7 (846) 270-30-30,volga-steel.ru,Самарская область,Самара,70000,5,4.1,True
ООО «ЮгМетКом»,6165890123,1176165890123,metals,"металлоконструкции, фасонный прокат",zakaz@ugmetkom.ru,+7 (863) 295-40-40,ugmetkom.ru,Ростовская область,Ростов-на-Дону,90000,6,4.0,False
ООО «Химпром Трейд»,7712345678,1087712345678,chemistry,"промышленная химия, растворители, кислоты",sales@himprom-trade.ru,+7 (495) 660-25-25,himprom-trade.ru,Москва,Москва,30000,5,4.6,True
ООО «СИБУР-Химпродукт»,1657012345,1081657012345,chemistry,"полимеры, каучуки, пластики",product@sibur.ru,+7 (843) 211-50-50,sibur.ru,Татарстан,Казань,500000,10,4.9,True
ООО «Нижнекамскнефтехим-С»,1651012345,1101651012345,chemistry,"каучуки синтетические, полиэтилен",sales@nknh.ru,+7 (8555) 37-25-00,nknh.ru,Татарстан,Нижнекамск,300000,10,4.8,True
ООО «Лакра Синтез»,7723456789,1117723456789,chemistry,"ЛКМ, краски, грунтовки, лаки",opt@lakra.ru,+7 (495) 775-70-70,lakra.ru,Москва,Москва,20000,4,4.5,True
ООО «РусХим Групп»,6678901234,1126678901234,chemistry,"технические газы, щёлочи, реагенты",info@rushimgroup.ru,+7 (343) 345-20-20,rushimgroup.ru,Свердловская область,Екатеринбург,50000,7,4.3,True
ООО «ХимРеагент-Юг»,2310567890,1192310567890,chemistry,"дезинфицирующие средства, коагулянты",zakaz@himreagent-yug.ru,+7 (861) 205-30-30,himreagent-yug.ru,Краснодарский край,Краснодар,15000,5,4.2,True
ООО «Полихим Сервис»,7810234567,1207810234567,chemistry,"полиуретаны, силиконы, клеи",sales@polyhim.ru,+7 (812) 605-20-20,polyhim.ru,Санкт-Петербург,Санкт-Петербург,25000,5,4.4,True
ООО «АгроХим Поволжье»,6312890123,1216312890123,chemistry,"удобрения, пестициды, агрохимия",opt@agrohim-volga.ru,+7 (846) 310-40-40,agrohim-volga.ru,Самарская область,Самара,100000,7,4.1,True
ООО «ПромРасход»,7715678901,1137715678901,consumables,"абразивы, диски, свёрла",opt@promrashod.ru,+7 (495) 620-30-30,promrashod.ru,Москва,Москва,15000,3,4.5,True
ООО «3М Россия»,7710012345,1027710012345,consumables,"абразивы, скотч, фильтры, СИЗ",sales@3mrussia.ru,+7 (495) 784-74-74,3mrussia.ru,Москва,Москва,30000,3,4.8,True
ООО «Вюрт-Рус»,7812345678,1157812345678,consumables,"крепёж, герметики, клеи, химия",info@wuerth.ru,+7 (812) 449-20-20,wuerth.ru,Санкт-Петербург,Санкт-Петербург,25000,4,4.6,True
ООО «ИнструментПром»,6656789012,1166656789012,consumables,"режущий инструмент, фрезы, резцы",sales@instprom.ru,+7 (343) 290-10-10,instprom.ru,Свердловская область,Екатеринбург,20000,5,4.3,True
ООО «РасходСнаб»,5410890123,1185410890123,consumables,"сварочные материалы, электроды",zakaz@rashodsnab.ru,+7 (383) 335-50-50,rashodsnab.ru,Новосибирская область,Новосибирск,10000,5,4.2,True
ООО «ТехСервис Про»,7718901234,1197718901234,services,ТО промышленного оборудования,service@techservice-pro.ru,+7 (495) 545-80-80,techservice-pro.ru,Москва,Москва,50000,3,4.5,True
ООО «КлинПрофи»,7806234567,1207806234567,services,"клининг, уборка промышленных объектов",zakaz@cleanprofi.ru,+7 (812) 407-30-30,cleanprofi.ru,Санкт-Петербург,Санкт-Петербург,30000,2,4.4,True
ООО «ОхранаСтрой»,6320123456,1216320123456,services,"охрана, СКУД, видеонаблюдение",info@ohranastroy.ru,+7 (846) 225-10-10,ohranastroy.ru,Самарская область,Самара,100000,7,4.3,True
ООО «ЛогистикПартнёр»,1660456789,1221660456789,services,"грузоперевозки, логистика, фулфилмент",sales@logist-partner.ru,+7 (843) 590-20-20,logist-partner.ru,Татарстан,Казань,20000,1,4.6,True
ООО «ЭкоУтилизация»,2315678901,1192315678901,services,"утилизация отходов, рециклинг",info@eco-util.ru,+7 (861) 215-50-50,eco-util.ru,Краснодарский край,Краснодар,40000,5,4.1,True
ООО «УГМК-ОЦМ»,6660012345,1026600012345,spot_metals,"медь, латунь, бронза, прокат цветной",sales@ugmk-ocm.ru,+7 (343) 310-55-55,ugmk-ocm.ru,Свердловская область,Екатеринбург,200000,7,4.8,True
ООО «Алюком»,7720234567,1117720234567,spot_metals,"алюминиевый прокат, профили, листы",info@alukom.ru,+7 (495) 785-60-60,alukom.ru,Москва,Москва,100000,5,4.6,True
ООО «ТитанПром»,6623567890,1186623567890,spot_metals,"титан, никель, вольфрам",sales@titanprom.ru,+7 (3435) 36-10-10,titanprom.ru,Свердловская область,Верхняя Салда,500000,14,4.7,True
ООО «Цветмет-Трейд»,7810567890,1197810567890,spot_metals,"олово, свинец, цинк, припои",opt@tsvetmet-trade.ru,+7 (812) 680-30-30,tsvetmet-trade.ru,Санкт-Петербург,Санкт-Петербург,150000,7,4.4,True
ООО «МедьПрокат Сибирь»,5412345678,1205412345678,spot_metals,"медная труба, шина, проволока",zakaz@medprokat-sib.ru,+7 (383) 380-40-40,medprokat-sib.ru,Новосибирская область,Новосибирск,80000,7,4.2,False
ООО «ЭТМ»,6672012345,1036672012345,consumables,"кабель, автоматы, щиты, электрика",sales@etm.ru,+7 (343) 286-20-20,etm.ru,Свердловская область,Екатеринбург,10000,3,4.7,True
ООО «Русский Свет»,7725890123,1097725890123,consumables,"светотехника, LED, прожекторы",opt@russvet.ru,+7 (495) 741-50-50,russvet.ru,Москва,Москва,15000,3,4.5,True
