sku,name,full_name,category,unit,gost,typical_price_rub,attributes
MET-ARM-A500C-10,Арматура А500С d10,Арматура стальная рифлёная А500С диам.10 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,47000,"{""class"": ""A500C"", ""diameter_mm"": 10}"
MET-ARM-A500C-12,Арматура А500С d12,Арматура стальная рифлёная А500С диам.12 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,47200,"{""class"": ""A500C"", ""diameter_mm"": 12}"
MET-ARM-A500C-14,Арматура А500С d14,Арматура стальная рифлёная А500С диам.14 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,47400,"{""class"": ""A500C"", ""diameter_mm"": 14}"
MET-ARM-A500C-16,Арматура А500С d16,Арматура стальная рифлёная А500С диам.16 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,47600,"{""class"": ""A500C"", ""diameter_mm"": 16}"
MET-ARM-A500C-18,Арматура А500С d18,Арматура стальная рифлёная А500С диам.18 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,47800,"{""class"": ""A500C"", ""diameter_mm"": 18}"
MET-ARM-A500C-20,Арматура А500С d20,Арматура стальная рифлёная А500С диам.20 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,48000,"{""class"": ""A500C"", ""diameter_mm"": 20}"
MET-ARM-A500C-22,Арматура А500С d22,Арматура стальная рифлёная А500С диам.22 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,48200,"{""class"": ""A500C"", ""diameter_mm"": 22}"
MET-ARM-A500C-25,Арматура А500С d25,Арматура стальная рифлёная А500С диам.25 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,48500,"{""class"": ""A500C"", ""diameter_mm"": 25}"
MET-ARM-A500C-28,Арматура А500С d28,Арматура стальная рифлёная А500С диам.28 ГОСТ 34028-2016,metals,т,ГОСТ 34028-2016,48800,"{""class"": ""A500C"", ""diameter_mm"": 28}"
MET-LIST-2-3пс,Лист 2 3пс,Лист горячекатаный 2мм сталь 3пс ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,73000,"{""thickness_mm"": 2, ""steel_grade"": ""3пс""}"
MET-LIST-3-3пс,Лист 3 3пс,Лист горячекатаный 3мм сталь 3пс ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,74500,"{""thickness_mm"": 3, ""steel_grade"": ""3пс""}"
MET-LIST-4-Ст3сп,Лист 4 Ст3сп,Лист горячекатаный 4мм сталь Ст3сп ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,76000,"{""thickness_mm"": 4, ""steel_grade"": ""Ст3сп""}"
MET-LIST-5-09Г2С,Лист 5 09Г2С,Лист горячекатаный 5мм сталь 09Г2С ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,77500,"{""thickness_mm"": 5, ""steel_grade"": ""09Г2С""}"
MET-LIST-6-09Г2С,Лист 6 09Г2С,Лист горячекатаный 6мм сталь 09Г2С ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,79000,"{""thickness_mm"": 6, ""steel_grade"": ""09Г2С""}"
MET-LIST-8-09Г2С,Лист 8 09Г2С,Лист горячекатаный 8мм сталь 09Г2С ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,82000,"{""thickness_mm"": 8, ""steel_grade"": ""09Г2С""}"
MET-LIST-10-3пс,Лист 10 3пс,Лист горячекатаный 10мм сталь 3пс ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,85000,"{""thickness_mm"": 10, ""steel_grade"": ""3пс""}"
MET-LIST-12-5ХНМ,Лист 12 5ХНМ,Лист горячекатаный 12мм сталь 5ХНМ ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,88000,"{""thickness_mm"": 12, ""steel_grade"": ""5ХНМ""}"
MET-LIST-14-3пс,Лист 14 3пс,Лист горячекатаный 14мм сталь 3пс ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,91000,"{""thickness_mm"": 14, ""steel_grade"": ""3пс""}"
MET-LIST-16-5ХНМ,Лист 16 5ХНМ,Лист горячекатаный 16мм сталь 5ХНМ ГОСТ 19281-2014,metals,т,ГОСТ 19281-2014,94000,"{""thickness_mm"": 16, ""steel_grade"": ""5ХНМ""}"
MET-UGL-25-3PS,Уголок 25x25 ст3пс,Уголок стальной горячекатаный равнополочный 25x25 ст3пс ГОСТ 8509-93,metals,т,ГОСТ 8509-93,60000,"{""steel_grade"": ""3пс"", ""wing_mm"": 25, ""type"": ""ugolok""}"
MET-UGL-32-3PS,Уголок 32x32 ст3пс,Уголок стальной горячекатаный равнополочный 32x32 ст3пс ГОСТ 8509-93,metals,т,ГОСТ 8509-93,61400,"{""steel_grade"": ""3пс"", ""wing_mm"": 32, ""type"": ""ugolok""}"
MET-UGL-40-3PS,Уголок 40x40 ст3пс,Уголок стальной горячекатаный равнополочный 40x40 ст3пс ГОСТ 8509-93,metals,т,ГОСТ 8509-93,63000,"{""steel_grade"": ""3пс"", ""wing_mm"": 40, ""type"": ""ugolok""}"
MET-UGL-50-3PS,Уголок 50x50 ст3пс,Уголок стальной горячекатаный равнополочный 50x50 ст3пс ГОСТ 8509-93,metals,т,ГОСТ 8509-93,65000,"{""steel_grade"": ""3пс"", ""wing_mm"": 50, ""type"": ""ugolok""}"
MET-UGL-63-3PS,Уголок 63x63 ст3пс,Уголок стальной горячекатаный равнополочный 63x63 ст3пс ГОСТ 8509-93,metals,т,ГОСТ 8509-93,67600,"{""steel_grade"": ""3пс"", ""wing_mm"": 63, ""type"": ""ugolok""}"
MET-UGL-75-3PS,Уголок 75x75 ст3пс,Уголок стальной горячекатаный равнополочный 75x75 ст3пс ГОСТ 8509-93,metals,т,ГОСТ 8509-93,70000,"{""steel_grade"": ""3пс"", ""wing_mm"": 75, ""type"": ""ugolok""}"
MET-PIPE-20-Ст20,Труба ВГП 20,Труба стальная ВГП водогазопроводная 20х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,62000,"{""diameter_mm"": 20, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-25-Ст20,Труба ВГП 25,Труба стальная ВГП водогазопроводная 25х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,62500,"{""diameter_mm"": 25, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-32-Ст20,Труба ВГП 32,Труба стальная ВГП водогазопроводная 32х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,63200,"{""diameter_mm"": 32, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-40-Ст20,Труба ВГП 40,Труба стальная ВГП водогазопроводная 40х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,64000,"{""diameter_mm"": 40, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-50-Ст20,Труба ВГП 50,Труба стальная ВГП водогазопроводная 50х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,65000,"{""diameter_mm"": 50, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-76-Ст20,Труба ВГП 76,Труба стальная ВГП водогазопроводная 76х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,67600,"{""diameter_mm"": 76, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-89-Ст20,Труба ВГП 89,Труба стальная ВГП водогазопроводная 89х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,68900,"{""diameter_mm"": 89, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-108-Ст20,Труба ВГП 108,Труба стальная ВГП водогазопроводная 108х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,70800,"{""diameter_mm"": 108, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
MET-PIPE-159-Ст20,Труба ВГП 159,Труба стальная ВГП водогазопроводная 159х3.2 ст.20 ГОСТ 3262-75,metals,т,ГОСТ 3262-75,75900,"{""diameter_mm"": 159, ""steel_grade"": ""Ст20"", ""type"": ""pipe_vgp""}"
IT-LP-LENOVO-T14,Ноутбук Lenovo ThinkPad T14,Ноутбук Lenovo ThinkPad T14 Gen 4 Core i5 16GB 512SSD,it,шт,,135000,"{""brand"": ""Lenovo"", ""model"": ""T14"", ""ram_gb"": 16, ""ssd_gb"": 512}"
IT-LP-LENOVO-T16,Ноутбук Lenovo ThinkPad T16,Ноутбук Lenovo ThinkPad T16 Gen 2 Core i7 32GB 1TB,it,шт,,185000,"{""brand"": ""Lenovo"", ""model"": ""T16"", ""ram_gb"": 32, ""ssd_gb"": 1024}"
IT-LP-HP-840,Ноутбук HP EliteBook 840,Ноутбук HP EliteBook 840 G10 Core i5 16GB 512SSD,it,шт,,132000,"{""brand"": ""HP"", ""model"": ""EliteBook 840"", ""ram_gb"": 16, ""ssd_gb"": 512}"
IT-SW-CISCO-9300,Коммутатор Cisco Catalyst 9300,Коммутатор Cisco Catalyst 9300 48-port,it,шт,,820000,"{""brand"": ""Cisco"", ""model"": ""C9300-48"", ""ports"": 48}"
IT-SW-ELTEX-MES-3324,Коммутатор Eltex MES3324,Коммутатор Eltex MES3324F 24x1G + 4x10G uplink,it,шт,,295000,"{""brand"": ""Eltex"", ""model"": ""MES3324F"", ""ports"": 28}"
IT-SRV-DELL-R650,Сервер Dell PowerEdge R650,Сервер Dell PowerEdge R650 2xXeon Gold 6338 256GB,it,шт,,1450000,"{""brand"": ""Dell"", ""model"": ""R650""}"
IT-MON-DELL-P2723,"Монитор Dell P2723QE 27""","Монитор Dell P2723QE 27"" 4K USB-C Hub",it,шт,,58000,"{""brand"": ""Dell"", ""model"": ""P2723QE"", ""diagonal_in"": 27}"
IT-KBM-LOGI-K780,Клавиатура Logitech K780,Клавиатура Logitech K780 Multi-Device Wireless,it,шт,,7800,"{""brand"": ""Logitech"", ""model"": ""K780""}"
MRO-PERCH-NIB-12,Перчатки нитриловые M,"Перчатки нитриловые без пудры размер M, 100шт/упак",mro,упак,,950,"{""size"": ""M"", ""qty_per_pack"": 100}"
MRO-PERCH-NIB-L,Перчатки нитриловые L,"Перчатки нитриловые без пудры размер L, 100шт/упак",mro,упак,,970,"{""size"": ""L"", ""qty_per_pack"": 100}"
MRO-SHRO-SF-1L,Шуруповёрт SHF-1L,Шуруповёрт аккум. 18В 2x4Ач кейс,mro,шт,,12500,"{""voltage_v"": 18}"
MRO-DRILL-BOSCH-GBH,Перфоратор Bosch GBH,Перфоратор Bosch GBH 2-28 SDS-plus 880Вт,mro,шт,,24800,"{""brand"": ""Bosch"", ""model"": ""GBH 2-28""}"
MRO-RESP-3M-7503,Респиратор 3M 7503,Респиратор полумаска 3M 7503 силиконовая L,mro,шт,,3400,"{""brand"": ""3M"", ""size"": ""L""}"
MRO-CASKA-SOMZ,Каска защитная СОМЗ-55,Каска защитная СОМЗ-55 Hammer белая,mro,шт,ГОСТ EN 397-2012,890,"{""brand"": ""СОМЗ"", ""color"": ""white""}"
MRO-MASLO-SHELL-T46,Масло индустриальное Shell T46,Масло индустриальное Shell Tellus S2 M46 (208л),mro,бочка,,78000,"{""brand"": ""Shell"", ""viscosity"": ""ISO VG 46""}"
MRO-VETOSH-50KG,"Ветошь х/б, 50кг",Ветошь х/б белая обтирочная (тюк 50кг),mro,тюк,,4200,"{""weight_kg"": 50}"
CONS-OFC-001,Бумага А4 80г,Бумага А4 80г,consumables,шт,,350,"{""typical_qty_demand"": 50}"
CONS-OFC-002,Папка-регистратор 5см,Папка-регистратор 5см,consumables,шт,,220,"{""typical_qty_demand"": 50}"
CONS-OFC-003,Картридж HP CF283A,Картридж HP CF283A,consumables,шт,,4800,"{""typical_qty_demand"": 8}"
CONS-OFC-004,Картридж Brother TN-2335,Картридж Brother TN-2335,consumables,шт,,5300,"{""typical_qty_demand"": 8}"
CONS-OFC-005,Ручка шариковая синяя,Ручка шариковая синяя,consumables,шт,,35,"{""typical_qty_demand"": 200}"
CONS-OFC-006,Маркер перманентный чёрный,Маркер перманентный чёрный,consumables,шт,,110,"{""typical_qty_demand"": 200}"
CONS-OFC-007,Степлер №24,Степлер №24,consumables,шт,,480,"{""typical_qty_demand"": 50}"
CONS-OFC-008,Скрепки канцелярские 100шт,Скрепки канцелярские 100шт,consumables,шт,,80,"{""typical_qty_demand"": 200}"
CONS-OFC-009,Скотч 50мм прозрачный,Скотч 50мм прозрачный,consumables,шт,,95,"{""typical_qty_demand"": 80}"
CONS-OFC-010,Скотч малярный 50мм,Скотч малярный 50мм,consumables,шт,,110,"{""typical_qty_demand"": 80}"
CHEM-PE-HDPE-273,Полиэтилен HDPE 273,Полиэтилен высокой плотности марка 273-83 ГОСТ 16338,chemistry,т,ГОСТ 16338-85,98000,"{""mfi"": ""5"", ""grade"": ""273""}"
CHEM-PE-LDPE-153,Полиэтилен LDPE 153,Полиэтилен низкой плотности марка 153 ГОСТ 16337,chemistry,т,ГОСТ 16337-77,92000,"{""mfi"": ""0.5"", ""grade"": ""153""}"
CHEM-PP-21030,Полипропилен 21030,Полипропилен гомополимер марка 21030 ГОСТ 26996,chemistry,т,ГОСТ 26996-86,112000,"{""grade"": ""21030""}"
CHEM-STAB-IRGAFOS-168,Стабилизатор Irgafos 168,Стабилизатор фосфитный Irgafos 168 (аналог),chemistry,кг,,1300,"{""type"": ""phosphite_stabilizer""}"
CHEM-COLOR-CARBON-N220,Сажа техническая N220,Сажа техническая N220 (черный пигмент),chemistry,т,ГОСТ 7885-86,130000,"{""grade"": ""N220""}"
CHEM-CAUSTIC-NAOH-CH,Сода каустическая NaOH,Натр едкий гранулированный ЧДА ГОСТ 4328,chemistry,кг,ГОСТ 4328-77,180,"{""purity"": ""ЧДА""}"
CHEM-ACID-H2SO4-92,Серная кислота 92%,Серная кислота техническая 92% ГОСТ 2184,chemistry,т,ГОСТ 2184-2013,28000,"{""purity"": ""техн""}"
SVC-CLEAN-OFFICE-MONTH,Клининг офиса (помесячно),Услуги клининга офиса 500м² 5 раз/нед месяц,services,мес,,85000,"{""area_sqm"": 500}"
SVC-DELIVERY-AUTO,Доставка авто,Доставка автотранспортом 20т Москва-РФ (1 рейс),services,рейс,,42000,"{""capacity_t"": 20}"
SVC-TRAIN-WORKSHOP,Тренинг 1 день,Корпоративный тренинг 1 день (1 группа до 15 чел),services,день,,68000,"{""max_attendees"": 15}"
MRO-EXTRA-001,Расходник MRO позиция 1,Расходный материал для технического обслуживания позиция 1,mro,шт,,217,"{""synthetic"": true}"
MRO-EXTRA-002,Расходник MRO позиция 2,Расходный материал для технического обслуживания позиция 2,mro,шт,,234,"{""synthetic"": true}"
MRO-EXTRA-003,Расходник MRO позиция 3,Расходный материал для технического обслуживания позиция 3,mro,шт,,251,"{""synthetic"": true}"
MRO-EXTRA-004,Расходник MRO позиция 4,Расходный материал для технического обслуживания позиция 4,mro,шт,,268,"{""synthetic"": true}"
MRO-EXTRA-005,Расходник MRO позиция 5,Расходный материал для технического обслуживания позиция 5,mro,шт,,285,"{""synthetic"": true}"
MRO-EXTRA-006,Расходник MRO позиция 6,Расходный материал для технического обслуживания позиция 6,mro,шт,,302,"{""synthetic"": true}"
MRO-EXTRA-007,Расходник MRO позиция 7,Расходный материал для технического обслуживания позиция 7,mro,шт,,319,"{""synthetic"": true}"
MRO-EXTRA-008,Расходник MRO позиция 8,Расходный материал для технического обслуживания позиция 8,mro,шт,,336,"{""synthetic"": true}"
MRO-EXTRA-009,Расходник MRO позиция 9,Расходный материал для технического обслуживания позиция 9,mro,шт,,353,"{""synthetic"": true}"
MRO-EXTRA-010,Расходник MRO позиция 10,Расходный материал для технического обслуживания позиция 10,mro,шт,,370,"{""synthetic"": true}"
MRO-EXTRA-011,Расходник MRO позиция 11,Расходный материал для технического обслуживания позиция 11,mro,шт,,387,"{""synthetic"": true}"
MRO-EXTRA-012,Расходник MRO позиция 12,Расходный материал для технического обслуживания позиция 12,mro,шт,,404,"{""synthetic"": true}"
MRO-EXTRA-013,Расходник MRO позиция 13,Расходный материал для технического обслуживания позиция 13,mro,шт,,421,"{""synthetic"": true}"
MRO-EXTRA-014,Расходник MRO позиция 14,Расходный материал для технического обслуживания позиция 14,mro,шт,,438,"{""synthetic"": true}"
MRO-EXTRA-015,Расходник MRO позиция 15,Расходный материал для технического обслуживания позиция 15,mro,шт,,455,"{""synthetic"": true}"
MRO-EXTRA-016,Расходник MRO позиция 16,Расходный материал для технического обслуживания позиция 16,mro,шт,,472,"{""synthetic"": true}"
MRO-EXTRA-017,Расходник MRO позиция 17,Расходный материал для технического обслуживания позиция 17,mro,шт,,489,"{""synthetic"": true}"
MRO-EXTRA-018,Расходник MRO позиция 18,Расходный материал для технического обслуживания позиция 18,mro,шт,,506,"{""synthetic"": true}"
MRO-EXTRA-019,Расходник MRO позиция 19,Расходный материал для технического обслуживания позиция 19,mro,шт,,523,"{""synthetic"": true}"
MRO-EXTRA-020,Расходник MRO позиция 20,Расходный материал для технического обслуживания позиция 20,mro,шт,,540,"{""synthetic"": true}"
MRO-EXTRA-021,Расходник MRO позиция 21,Расходный материал для технического обслуживания позиция 21,mro,шт,,557,"{""synthetic"": true}"
MRO-EXTRA-022,Расходник MRO позиция 22,Расходный материал для технического обслуживания позиция 22,mro,шт,,574,"{""synthetic"": true}"
MRO-EXTRA-023,Расходник MRO позиция 23,Расходный материал для технического обслуживания позиция 23,mro,шт,,591,"{""synthetic"": true}"
MRO-EXTRA-024,Расходник MRO позиция 24,Расходный материал для технического обслуживания позиция 24,mro,шт,,608,"{""synthetic"": true}"
MRO-EXTRA-025,Расходник MRO позиция 25,Расходный материал для технического обслуживания позиция 25,mro,шт,,625,"{""synthetic"": true}"
MRO-EXTRA-026,Расходник MRO позиция 26,Расходный материал для технического обслуживания позиция 26,mro,шт,,642,"{""synthetic"": true}"
MRO-EXTRA-027,Расходник MRO позиция 27,Расходный материал для технического обслуживания позиция 27,mro,шт,,659,"{""synthetic"": true}"
MRO-EXTRA-028,Расходник MRO позиция 28,Расходный материал для технического обслуживания позиция 28,mro,шт,,676,"{""synthetic"": true}"
MRO-EXTRA-029,Расходник MRO позиция 29,Расходный материал для технического обслуживания позиция 29,mro,шт,,693,"{""synthetic"": true}"
MRO-EXTRA-030,Расходник MRO позиция 30,Расходный материал для технического обслуживания позиция 30,mro,шт,,710,"{""synthetic"": true}"
MRO-EXTRA-031,Расходник MRO позиция 31,Расходный материал для технического обслуживания позиция 31,mro,шт,,727,"{""synthetic"": true}"
MRO-EXTRA-032,Расходник MRO позиция 32,Расходный материал для технического обслуживания позиция 32,mro,шт,,744,"{""synthetic"": true}"
MRO-EXTRA-033,Расходник MRO позиция 33,Расходный материал для технического обслуживания позиция 33,mro,шт,,761,"{""synthetic"": true}"
MRO-EXTRA-034,Расходник MRO позиция 34,Расходный материал для технического обслуживания позиция 34,mro,шт,,778,"{""synthetic"": true}"
MRO-EXTRA-035,Расходник MRO позиция 35,Расходный материал для технического обслуживания позиция 35,mro,шт,,795,"{""synthetic"": true}"
MRO-EXTRA-036,Расходник MRO позиция 36,Расходный материал для технического обслуживания позиция 36,mro,шт,,812,"{""synthetic"": true}"
MRO-EXTRA-037,Расходник MRO позиция 37,Расходный материал для технического обслуживания позиция 37,mro,шт,,829,"{""synthetic"": true}"
MRO-EXTRA-038,Расходник MRO позиция 38,Расходный материал для технического обслуживания позиция 38,mro,шт,,846,"{""synthetic"": true}"
MRO-EXTRA-039,Расходник MRO позиция 39,Расходный материал для технического обслуживания позиция 39,mro,шт,,863,"{""synthetic"": true}"
MRO-EXTRA-040,Расходник MRO позиция 40,Расходный материал для технического обслуживания позиция 40,mro,шт,,880,"{""synthetic"": true}"
MRO-EXTRA-041,Расходник MRO позиция 41,Расходный материал для технического обслуживания позиция 41,mro,шт,,897,"{""synthetic"": true}"
MRO-EXTRA-042,Расходник MRO позиция 42,Расходный материал для технического обслуживания позиция 42,mro,шт,,914,"{""synthetic"": true}"
MRO-EXTRA-043,Расходник MRO позиция 43,Расходный материал для технического обслуживания позиция 43,mro,шт,,931,"{""synthetic"": true}"
MRO-EXTRA-044,Расходник MRO позиция 44,Расходный материал для технического обслуживания позиция 44,mro,шт,,948,"{""synthetic"": true}"
MRO-EXTRA-045,Расходник MRO позиция 45,Расходный материал для технического обслуживания позиция 45,mro,шт,,965,"{""synthetic"": true}"
MRO-EXTRA-046,Расходник MRO позиция 46,Расходный материал для технического обслуживания позиция 46,mro,шт,,982,"{""synthetic"": true}"
MRO-EXTRA-047,Расходник MRO позиция 47,Расходный материал для технического обслуживания позиция 47,mro,шт,,999,"{""synthetic"": true}"
MRO-EXTRA-048,Расходник MRO позиция 48,Расходный материал для технического обслуживания позиция 48,mro,шт,,1016,"{""synthetic"": true}"
MRO-EXTRA-049,Расходник MRO позиция 49,Расходный материал для технического обслуживания позиция 49,mro,шт,,1033,"{""synthetic"": true}"
MRO-EXTRA-050,Расходник MRO позиция 50,Расходный материал для технического обслуживания позиция 50,mro,шт,,1050,"{""synthetic"": true}"
MRO-EXTRA-051,Расходник MRO позиция 51,Расходный материал для технического обслуживания позиция 51,mro,шт,,1067,"{""synthetic"": true}"
MRO-EXTRA-052,Расходник MRO позиция 52,Расходный материал для технического обслуживания позиция 52,mro,шт,,1084,"{""synthetic"": true}"
MRO-EXTRA-053,Расходник MRO позиция 53,Расходный материал для технического обслуживания позиция 53,mro,шт,,1101,"{""synthetic"": true}"
MRO-EXTRA-054,Расходник MRO позиция 54,Расходный материал для технического обслуживания позиция 54,mro,шт,,1118,"{""synthetic"": true}"
MRO-EXTRA-055,Расходник MRO позиция 55,Расходный материал для технического обслуживания позиция 55,mro,шт,,1135,"{""synthetic"": true}"
MRO-EXTRA-056,Расходник MRO позиция 56,Расходный материал для технического обслуживания позиция 56,mro,шт,,1152,"{""synthetic"": true}"
MRO-EXTRA-057,Расходник MRO позиция 57,Расходный материал для технического обслуживания позиция 57,mro,шт,,1169,"{""synthetic"": true}"
MRO-EXTRA-058,Расходник MRO позиция 58,Расходный материал для технического обслуживания позиция 58,mro,шт,,1186,"{""synthetic"": true}"
MRO-EXTRA-059,Расходник MRO позиция 59,Расходный материал для технического обслуживания позиция 59,mro,шт,,1203,"{""synthetic"": true}"
MRO-EXTRA-060,Расходник MRO позиция 60,Расходный материал для технического обслуживания позиция 60,mro,шт,,1220,"{""synthetic"": true}"
MRO-EXTRA-061,Расходник MRO позиция 61,Расходный материал для технического обслуживания позиция 61,mro,шт,,1237,"{""synthetic"": true}"
MRO-EXTRA-062,Расходник MRO позиция 62,Расходный материал для технического обслуживания позиция 62,mro,шт,,1254,"{""synthetic"": true}"
MRO-EXTRA-063,Расходник MRO позиция 63,Расходный материал для технического обслуживания позиция 63,mro,шт,,1271,"{""synthetic"": true}"
MRO-EXTRA-064,Расходник MRO позиция 64,Расходный материал для технического обслуживания позиция 64,mro,шт,,1288,"{""synthetic"": true}"
MRO-EXTRA-065,Расходник MRO позиция 65,Расходный материал для технического обслуживания позиция 65,mro,шт,,1305,"{""synthetic"": true}"
MRO-EXTRA-066,Расходник MRO позиция 66,Расходный материал для технического обслуживания позиция 66,mro,шт,,1322,"{""synthetic"": true}"
MRO-EXTRA-067,Расходник MRO позиция 67,Расходный материал для технического обслуживания позиция 67,mro,шт,,1339,"{""synthetic"": true}"
MRO-EXTRA-068,Расходник MRO позиция 68,Расходный материал для технического обслуживания позиция 68,mro,шт,,1356,"{""synthetic"": true}"
MRO-EXTRA-069,Расходник MRO позиция 69,Расходный материал для технического обслуживания позиция 69,mro,шт,,1373,"{""synthetic"": true}"
MRO-EXTRA-070,Расходник MRO позиция 70,Расходный материал для технического обслуживания позиция 70,mro,шт,,1390,"{""synthetic"": true}"
MRO-EXTRA-071,Расходник MRO позиция 71,Расходный материал для технического обслуживания позиция 71,mro,шт,,1407,"{""synthetic"": true}"
MRO-EXTRA-072,Расходник MRO позиция 72,Расходный материал для технического обслуживания позиция 72,mro,шт,,1424,"{""synthetic"": true}"
MRO-EXTRA-073,Расходник MRO позиция 73,Расходный материал для технического обслуживания позиция 73,mro,шт,,1441,"{""synthetic"": true}"
MRO-EXTRA-074,Расходник MRO позиция 74,Расходный материал для технического обслуживания позиция 74,mro,шт,,1458,"{""synthetic"": true}"
MRO-EXTRA-075,Расходник MRO позиция 75,Расходный материал для технического обслуживания позиция 75,mro,шт,,1475,"{""synthetic"": true}"
MRO-EXTRA-076,Расходник MRO позиция 76,Расходный материал для технического обслуживания позиция 76,mro,шт,,1492,"{""synthetic"": true}"
MRO-EXTRA-077,Расходник MRO позиция 77,Расходный материал для технического обслуживания позиция 77,mro,шт,,1509,"{""synthetic"": true}"
MRO-EXTRA-078,Расходник MRO позиция 78,Расходный материал для технического обслуживания позиция 78,mro,шт,,1526,"{""synthetic"": true}"
MRO-EXTRA-079,Расходник MRO позиция 79,Расходный материал для технического обслуживания позиция 79,mro,шт,,1543,"{""synthetic"": true}"
